items;lenItems;support;PBoarder;NBoarder
(1, 3, 7);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(3, 4, 6);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 6, 7);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 3, 7);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(3, 4, 7);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 2, 7);3;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 3, 4, 6);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 6, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 4, 6, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 3, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 3, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 6, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 2, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 3, 4, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 2, 3, 6);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 4, 6);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 4, 6, 7);4;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 2, 3, 6);5;0.5;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 4);2;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(4, 6, 7);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 2, 4);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 3, 6);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 3, 4);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 4);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 4, 6);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 4, 6);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 3, 6);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(2, 6, 7);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(3, 6, 7);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 2, 6);3;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 3, 6);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 3, 6);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 2, 4);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 3, 4);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 2, 4, 7);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 1, 2, 6);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(0, 3, 6, 7);4;0.55;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(3, 4);2;0.6;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
(1, 7);2;0.6;[[0, 1, 2, 3, 6], [0, 1, 3, 7], [0, 1, 6, 7], [0, 4, 6, 7], [2, 4, 6, 7], [0, 3, 4, 6], [0, 2, 3, 4], [0, 1, 2, 4], [0, 1, 2, 7], [0, 3, 4, 7], [0, 2, 3, 7], [0, 2, 4, 7], [0, 2, 4, 6], [0, 2, 6, 7], [0, 3, 6, 7]];[[5], [8], [9]];
